epoch,test_acc
0,0.1036
1,0.5969
2,0.6585
3,0.6739
4,0.6897
5,0.6752
6,0.6825
7,0.6789
8,0.6806
9,0.6743
10,0.6673
11,0.6688
12,0.6723
13,0.6569
14,0.6616
15,0.6444
16,0.655
17,0.6534
18,0.651
19,0.6521
20,0.6397
21,0.6425
22,0.6346
23,0.6462
24,0.6395
25,0.6254
26,0.6342
27,0.6504
28,0.6418
29,0.6257
30,0.6286
31,0.633
32,0.622
33,0.6194
34,0.6122
35,0.6072
36,0.6178
37,0.5952
38,0.5811
39,0.6085
40,0.6183
41,0.6042
42,0.6027
43,0.5953
44,0.6115
45,0.5949
46,0.5923
47,0.6044
48,0.6056
49,0.5567
50,0.5756
51,0.5973
52,0.5755
53,0.5194
54,0.5624
55,0.5753
56,0.5504
57,0.5435
58,0.5323
59,0.5299
60,0.5045
