step,test_acc
0,0.128
20,0.6427
40,0.9022
60,0.9549
80,0.957
100,0.9636
120,0.9717
140,0.9744
160,0.9732
180,0.9802
200,0.9779
220,0.9731
240,0.9723
260,0.9773
280,0.9753
300,0.9818
320,0.9809
340,0.9833
360,0.9805
380,0.9781
400,0.9812
420,0.9849
440,0.9852
460,0.9832
469,0.986
480,0.9885
500,0.9839
520,0.9852
540,0.9848
560,0.9863
580,0.9866
600,0.9873
620,0.9881
640,0.9865
660,0.9848
680,0.9885
700,0.9869
720,0.9888
740,0.9898
760,0.9862
780,0.9858
800,0.9863
820,0.9874
840,0.9885
860,0.9873
880,0.9903
900,0.9887
920,0.9888
938,0.9885
940,0.989
960,0.9886
980,0.9892
1000,0.9907
1020,0.9908
1040,0.9904
1060,0.9905
1080,0.991
1100,0.9905
1120,0.9908
1140,0.9913
1160,0.99
1180,0.9903
1200,0.9911
1220,0.9909
1240,0.9911
1260,0.9909
1280,0.991
1300,0.9896
1320,0.9922
1340,0.9919
1360,0.9913
1380,0.9917
1400,0.9923
1407,0.9919
